category,part_name,weight_grams
1Competition,'High Stakes Field ',0.0
1Competition,Block,0.0
1Competition,Block,0.0
1Competition,Center Goal,0.0
1Competition,High Stakes Field,0.0
1Competition,Loader,0.0
1Competition,Long Goal,0.0
1Competition,Push Back Field,0.0
1Competition,Ring,125.0
1Competition,Ring,125.0
1Competition,Stake,950.0
2Electronics,11W Motor,155.0
2Electronics,5.5W Motor,90.7
2Electronics,Battery,350.0
2Electronics,Battery Clip,3.0
2Electronics,Brain,285.0
2Electronics,Cortex Bumper Switch,18.0
2Electronics,Distance Sensor,9.0
2Electronics,Inertial Sensor,9.0
2Electronics,Light Sensor,33.0
2Electronics,Limit Switch,13.6
2Electronics,Line Tracker,12.0
2Electronics,Optical Sensor,9.0
2Electronics,Optical Shaft Encoder,30.0
2Electronics,Potentiometer,11.0
2Electronics,Radio,25.0
2Electronics,Rotation Sensor,22.6
2Electronics,Ultrasonic Range Finder,33.0
2Electronics,V5 Bumper Switch,18.0
2Electronics,Vision Sensor,46.0
3Pneumatics,25mm Piston,42.0
3Pneumatics,25mm Piston,42.0
3Pneumatics,50mm Piston,47.0
3Pneumatics,50mm Piston,47.0
3Pneumatics,75mm Piston,54.0
3Pneumatics,75mm Piston,54.0
3Pneumatics,Legacy Pneumatic Air Reservoir,247.0
3Pneumatics,V5 Pneumatic Air Reservoir,321.0
4Motion,"1/16"" HS Spacer",0.04
4Motion,"1/2"" HS Spacer",0.7
4Motion,"1/2"" Nylon Spacer",2.4
4Motion,"1/4"" HS Spacer",0.3
4Motion,"1/4"" Nylon Spacer",1.2
4Motion,"1/8"" HS Spacer",0.1
4Motion,"1/8"" Nylon Spacer",0.6
4Motion,16T Bevel Gear,2.0
4Motion,"3/8"" Nylon Spacer",1.8
4Motion,32T Bevel Gear,3.0
4Motion,4.6mm Plastic Spacer,0.1
4Motion,8mm Plastic Spacer,0.3
4Motion,Bearing Flat,1.2
4Motion,Block Bearing,1.4
4Motion,Cam Follower,9.0
4Motion,Drop Off Cam,19.0
4Motion,HS Bearing Flat,2.0
4Motion,HS Block Bearing,2.4
4Motion,HS Clamping Shaft Collar,4.0
4Motion,Hand Crank,3.0
